
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   56     30.0  0.2285   1.00   1.00    207.1   5.14
   57     36.5  0.2445   1.00   0.00    255.7   5.85
   58     40.2  0.2197   1.00   2.00    232.3   6.24
   59     42.6  0.1881   2.00   0.00    220.0   5.53
   70     25.9  0.3011   2.00   0.00    224.7   5.43
   71     15.1  0.5288   1.00   0.00    222.5   5.78
   72     50.1  0.1558   1.00   0.00    221.5   5.53
   73     42.6  0.1838   1.00   1.00    230.8   5.94
   74     43.8  0.1867   1.00   0.00    228.5   5.55
   75     34.3  0.2454   1.00   1.00    229.8   5.42
   76     49.1  0.1652   1.00   1.00    225.3   5.22
   77     29.1  0.2543   2.00   0.00    214.6   6.07
   78     20.5  0.3600   2.00   1.00    212.2   5.12
   79     38.2  0.1995   2.00   0.00    215.4   5.45
-- sdn
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     38.7  0.1745   1.00   0.00    190.8   4.86
   51     20.2  0.3566   1.00   1.00    198.1   5.26
   52     39.1  0.1833   2.00   0.00    202.7   5.10
   53     41.6  0.1678   2.00   0.00    201.3   4.96
   54     39.1  0.1860   1.00   0.00    195.0   4.78
   55     41.6  0.1760   1.00   0.00    206.3   5.43
   56     31.5  0.2075   1.00   1.00    193.5   4.83
   57     32.3  0.2249   1.00   0.00    206.2   5.21
   58     42.9  0.1823   1.00   2.00    206.8   5.71
   59     41.6  0.1714   2.00   0.00    193.6   5.09
   70     32.2  0.2122   2.00   0.00    196.2   4.92
   71     19.7  0.3271   1.00   0.00    190.6   4.99
   72     50.3  0.1409   1.00   0.00    203.1   5.40
   73     41.6  0.1673   1.00   1.00    202.3   5.60
   74     41.3  0.1715   1.00   0.00    196.9   5.04
   75     33.1  0.2242   1.00   1.00    204.4   4.84
   76     42.2  0.1719   1.00   1.00    202.0   4.92
   77     36.2  0.1898   2.00   0.00    196.3   5.71
   78     27.7  0.2429   2.00   1.00    193.8   4.68
   79     33.9  0.2041   2.00   0.00    196.6   4.81
-- ospf
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     37.9  0.1809   1.00   0.00    193.8   5.01
   51     19.6  0.3671   2.00   0.00    194.6   5.45
   52     38.2  0.1880   2.00   0.00    201.6   5.24
   53     40.9  0.1721   2.00   0.00    202.1   5.10
   54     38.0  0.1869   1.00   0.00    190.5   4.92
   55     40.5  0.1781   1.00   0.00    202.2   5.59
   56     30.7  0.2102   2.00   0.00    190.5   4.98
   57     31.7  0.2207   1.00   0.00    197.3   5.35
   58     40.4  0.1859   3.00   0.00    198.2   5.79
   59     40.5  0.1776   2.00   0.00    195.7   5.26
   70     31.5  0.2192   2.00   0.00    197.6   5.15
   71     19.2  0.3388   1.00   0.00    192.0   5.22
   72     48.6  0.1454   1.00   0.00    201.8   5.48
   73     40.0  0.1701   2.00   0.00    196.5   5.59
   74     38.5  0.1794   1.00   0.00    192.6   5.07
   75     32.4  0.2269   2.00   0.00    202.0   4.98
   76     41.3  0.1713   2.00   0.00    196.8   4.87
   77     35.2  0.1916   2.00   0.00    192.6   5.81
   78     27.3  0.2468   3.00   0.00    193.8   4.81
   79     33.4  0.2058   2.00   0.00    194.2   4.99
-- olsr
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     37.9  0.1810   1.00   0.00    193.8   5.20
   51     19.6  0.3675   2.00   0.00    194.6   5.66
   52     38.2  0.1881   2.00   0.00    201.6   5.44
   53     40.9  0.1722   2.00   0.00    202.1   5.30
   54     38.0  0.1870   1.00   0.00    190.5   5.10
   55     40.5  0.1782   1.00   0.00    202.2   5.79
   56     30.7  0.2102   2.00   0.00    190.5   5.16
   57     31.7  0.2208   1.00   0.00    197.3   5.55
   58     40.4  0.1861   3.00   0.00    198.2   6.00
   59     40.5  0.1777   2.00   0.00    195.7   5.45
   70     31.5  0.2193   2.00   0.00    197.6   5.35
   71     19.2  0.3389   1.00   0.00    192.0   5.43
   72     48.6  0.1454   1.00   0.00    201.8   5.69
   73     40.0  0.1701   2.00   0.00    196.5   5.80
   74     38.5  0.1795   1.00   0.00    192.6   5.25
   75     32.4  0.2270   2.00   0.00    202.0   5.17
   76     41.3  0.1714   2.00   0.00    196.8   5.05
   77     35.2  0.1916   2.00   0.00    192.6   6.03
   78     27.3  0.2468   3.00   0.00    193.8   5.00
   79     33.4  0.2058   2.00   0.00    194.2   5.18
-- batman
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     37.9  0.1774   1.00   0.00    189.7   5.01
   51     19.6  0.3612   2.00   0.00    190.4   5.45
   52     38.2  0.1847   2.00   0.00    197.5   5.24
   53     40.9  0.1689   2.00   0.00    197.9   5.10
   54     38.0  0.1834   1.00   0.00    186.3   4.92
   55     40.5  0.1749   1.00   0.00    198.0   5.59
   56     30.7  0.2060   2.00   0.00    186.3   4.98
   57     31.7  0.2164   1.00   0.00    193.1   5.35
   58     40.4  0.1829   3.00   0.00    194.0   5.79
   59     40.5  0.1745   2.00   0.00    191.5   5.26
   70     31.5  0.2149   2.00   0.00    193.5   5.15
   71     19.2  0.3321   1.00   0.00    187.8   5.22
   72     48.6  0.1427   1.00   0.00    197.6   5.48
   73     40.0  0.1667   2.00   0.00    192.3   5.59
   74     38.5  0.1760   1.00   0.00    188.5   5.07
   75     32.4  0.2231   2.00   0.00    197.8   4.98
   76     41.3  0.1684   2.00   0.00    192.6   4.87
   77     35.2  0.1879   2.00   0.00    188.4   5.81
   78     27.3  0.2415   3.00   0.00    189.6   4.81
   79     33.4  0.2016   2.00   0.00    190.0   4.99
-- aodv
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     37.9  0.1770   1.00   0.00    189.4   4.90
   51     19.5  0.3594   2.00   0.00    190.2   5.32
   52     38.2  0.1842   2.00   0.00    197.2   5.13
   53     40.9  0.1685   2.00   0.00    197.7   4.98
   54     38.0  0.1828   1.00   0.00    186.1   4.80
   55     40.5  0.1744   1.00   0.00    197.8   5.46
   56     30.7  0.2054   2.00   0.00    186.1   4.87
   57     31.7  0.2159   1.00   0.00    192.9   5.23
   58     40.4  0.1821   3.00   0.00    193.8   5.66
   59     40.5  0.1739   2.00   0.00    191.3   5.15
   70     31.5  0.2144   2.00   0.00    193.2   5.04
   71     19.2  0.3313   1.00   0.00    187.6   5.10
   72     48.6  0.1423   1.00   0.00    197.4   5.36
   73     40.0  0.1663   2.00   0.00    192.1   5.47
   74     38.5  0.1754   1.00   0.00    188.2   4.95
   75     32.4  0.2224   2.00   0.00    197.6   4.87
   76     41.3  0.1677   2.00   0.00    192.4   4.76
   77     35.2  0.1874   2.00   0.00    188.2   5.68
   78     27.3  0.2412   3.00   0.00    189.4   4.70
